eid source target dir capacity speed_kmh highway cost_time_m dist_km
194 486 1230 1 6900 96.5604 motorway 0.185170011253 0.229231927623
195 1230 28543 1 6900 96.5604 motorway 0.125915195337 0.155877200357
196 28543 6503 1 6900 96.5604 motorway 0.252558340905 0.312655569501
197 6503 6504 1 6900 96.5604 motorway 0.438973682481 0.543429158588
198 6504 28612 1 6900 96.5604 motorway 0.815641946261 1.00972708446
199 28612 6505 1 6900 96.5604 motorway 0.131948816336 0.163346544678
200 6505 6506 1 6900 96.5604 motorway 0.37392875711 0.462906543052
201 6506 28562 1 6900 96.5604 motorway 0.11392957791 0.141039559165
202 28562 28585 1 6900 96.5604 motorway 1.15950324488 1.43541150163
203 28585 29575 1 6900 96.5604 motorway 0.146131282936 0.180903783754
204 29575 22463 1 6900 96.5604 motorway 0.433848341759 0.537084223328
205 22463 22514 1 6900 96.5604 motorway 0.328866089408 0.407121040252
206 22514 32797 1 6900 96.5604 motorway 0.158449070543 0.196152636298
207 32797 32819 1 6900 96.5604 motorway 0.359709094574 0.445303257124
208 32819 29604 1 6900 96.5604 motorway 0.21058957356 0.260700172549
209 29604 32005 1 6900 96.5604 motorway 0.644001415634 0.797244029412
210 32005 32007 1 6900 96.5604 motorway 0.323691362781 0.400714967522
211 32007 32013 1 6900 96.5604 motorway 0.980200346318 1.21344278873
212 32013 21891 1 6900 96.5604 motorway 0.437721302168 0.541878769563
213 21891 32025 1 6900 96.5604 motorway 0.386304677165 0.478227360884
214 32025 30305 1 6900 96.5604 motorway 0.410418097909 0.508078662838
215 30305 32034 1 6900 96.5604 motorway 0.614836197994 0.761138836062
216 32034 32072 1 6900 96.5604 motorway 0.365689109601 0.452706239727
217 32072 32076 1 6900 96.5604 motorway 0.346090327729 0.428443852328
218 32076 32077 1 6900 96.5604 motorway 0.119884167041 0.148411065682
219 32077 30738 1 6900 96.5604 motorway 0.186493094194 0.230869843239
220 30738 30742 1 6900 96.5604 motorway 0.586541757769 0.72611162496
221 30742 9550 1 6900 96.5604 motorway 5.13714585334 6.35954946739
222 9550 9552 1 6900 96.5604 motorway 0.239531464674 0.296528897968
223 9552 11869 1 6900 96.5604 motorway 4.13297093571 5.1164272659
224 28361 28364 0 1900 48.2802 secondary 0.141815090099 0.0877802681152
225 28364 28361 0 1900 48.2802 secondary 0.141815090099 0.0877802681152
226 19784 1707 1 6900 96.5604 motorway 0.549932718288 0.68079132373
227 1707 12669 1 6900 96.5604 motorway 0.0959620336283 0.118796568615
228 3442 764 1 6900 96.5604 motorway 0.456713352499 0.565390051316
229 764 8643 1 6900 96.5604 motorway 0.0958977578097 0.118716998118
230 8643 19800 1 6900 96.5604 motorway 0.25800021317 0.319392356202
231 19800 19889 1 6900 96.5604 motorway 0.358853600631 0.444244195107
232 3038 3035 1 1900 48.2802 secondary 0.0260998535163 0.0161552070222
233 3035 4579 1 1900 48.2802 secondary 0.122424938119 0.0757782115047
234 4579 3007 1 1900 48.2802 secondary 0.106553064497 0.0659538880068
235 3007 2996 1 1900 48.2802 secondary 0.0929553991071 0.0575372469227
236 2996 2983 1 1900 48.2802 secondary 0.108615083836 0.0672302303926
237 2983 2946 1 1900 48.2802 secondary 0.364865568337 0.225843366826
238 2946 2938 1 1900 48.2802 secondary 0.0237954741174 0.0147288493523
239 11817 25297 1 950 32.1868 tertiary 0.452614224663 0.186771840082
240 25297 25298 1 950 32.1868 tertiary 0.727652083296 0.300266565059
241 25298 25299 1 950 32.1868 tertiary 0.184092934605 0.0759661854815
242 25299 11844 1 950 32.1868 tertiary 0.179320694871 0.0739969146369
243 11844 17288 1 950 32.1868 tertiary 0.0342073791768 0.0141157188729
244 17288 25303 1 950 32.1868 tertiary 0.386525991823 0.159500446072
245 25303 11820 1 950 32.1868 tertiary 0.36557832086 0.150856362793
246 11820 11818 1 950 32.1868 tertiary 0.218388712346 0.0901183821353
247 33261 1335 1 6900 96.5604 motorway 0.013550737396 0.0167751874776
248 1335 24202 1 6900 96.5604 motorway 0.779181656754 0.964590928831
249 24202 33212 1 6900 96.5604 motorway 0.0967375061856 0.11975656785
250 32792 25239 1 950 32.1868 tertiary 0.360873373802 0.148914860358
251 32794 32796 1 950 32.1868 tertiary 0.345702765912 0.142654689562
252 803 28026 1 950 32.1868 tertiary 0.0151207423356 0.00623959371035
253 28026 28836 1 950 32.1868 tertiary 0.0359464266487 0.0148333390417
254 28836 30983 1 950 32.1868 tertiary 0.291814797329 0.120417750239
255 30983 30985 1 950 32.1868 tertiary 0.183382923431 0.0756731984602
256 30985 30988 1 950 32.1868 tertiary 0.145343837566 0.0599763209098
257 30988 30990 1 950 32.1868 tertiary 0.183404551988 0.0756821235117
258 30990 30992 1 950 32.1868 tertiary 0.0393544043898 0.0162396454258
259 30992 30994 1 950 32.1868 tertiary 0.310842663685 0.128269623686
