id	layer	num1	num2	num3	lon	pos	Station	st_x	st_y	lat	proximity_to_metro
streets_12199	streets	None	None	None	None	(24.756709548678302, 46.6487635458897)	None	46.6487635459	24.7567095487	None	None
streets_12198	streets	None	None	None	None	(24.829084273802199, 46.798996110106401)	None	46.7989961101	24.8290842738	None	None
taz_290	taz	1310	808	53	46.649268	(24.771529999999998, 46.649267999999999)	None	None	None	24.77153	1.33782467604
taz_13518	taz	3617	6508	288	46.727611	(24.646387000000001, 46.727610999999996)	None	None	None	24.646387	1.09791334799
streets_12191	streets	None	None	None	None	(24.8120499497014, 46.699604940766896)	None	46.6996049408	24.8120499497	None	None
streets_12190	streets	None	None	None	None	(24.696267565151299, 46.5632854606474)	None	46.5632854606	24.6962675652	None	None
streets_12193	streets	None	None	None	None	(24.741189843665701, 46.685392943623199)	None	46.6853929436	24.7411898437	None	None
streets_12192	streets	None	None	None	None	(24.7403987451268, 46.683479759546699)	None	46.6834797595	24.7403987451	None	None
streets_12195	streets	None	None	None	None	(24.696491518055801, 46.808952746374501)	None	46.8089527464	24.6964915181	None	None
streets_12194	streets	None	None	None	None	(24.892331164666501, 46.584322949371206)	None	46.5843229494	24.8923311647	None	None
streets_12197	streets	None	None	None	None	(24.6986272816082, 46.666417316781398)	None	46.6664173168	24.6986272816	None	None
streets_12196	streets	None	None	None	None	(24.863696378952199, 46.552654268503105)	None	46.5526542685	24.863696379	None	None
taz_5982	taz	1965	9595	1097	46.6755	(24.629797, 46.6755)	None	None	None	24.629797	1.84417898475
streets_4090	streets	None	None	None	None	(24.8105972516008, 46.884152223420401)	None	46.8841522234	24.8105972516	None	None
streets_4091	streets	None	None	None	None	(24.691774189902201, 46.798851115980796)	None	46.798851116	24.6917741899	None	None
streets_4092	streets	None	None	None	None	(24.819418767465301, 46.806156980782099)	None	46.8061569808	24.8194187675	None	None
streets_4094	streets	None	None	None	None	(24.769149101199197, 46.821375017381705)	None	46.8213750174	24.7691491012	None	None
streets_4095	streets	None	None	None	None	(24.746843557803501, 46.837338279824401)	None	46.8373382798	24.7468435578	None	None
streets_4098	streets	None	None	None	None	(24.572932003898501, 46.535750351118097)	None	46.5357503511	24.5729320039	None	None
streets_9228	streets	None	None	None	None	(24.7565335296805, 46.700254052321498)	None	46.7002540523	24.7565335297	None	None
streets_9229	streets	None	None	None	None	(24.946236843384799, 46.550605782744704)	None	46.5506057827	24.9462368434	None	None
taz_9387	taz	505	2529	692	46.54291	(24.824200000000001, 46.542909999999999)	None	None	None	24.8242	6.86622850682
streets_9220	streets	None	None	None	None	(24.642985783611699, 46.824090690705994)	None	46.8240906907	24.6429857836	None	None
streets_9221	streets	None	None	None	None	(24.657581577727999, 46.7121731659037)	None	46.7121731659	24.6575815777	None	None
streets_9222	streets	None	None	None	None	(24.714137215079898, 46.709507545667705)	None	46.7095075457	24.7141372151	None	None
streets_9223	streets	None	None	None	None	(24.756670973618103, 46.700275698461503)	None	46.7002756985	24.7566709736	None	None
streets_9224	streets	None	None	None	None	(24.7877812239321, 46.582190044885209)	None	46.5821900449	24.7877812239	None	None
streets_9225	streets	None	None	None	None	(24.536447508935698, 46.700532072487498)	None	46.7005320725	24.5364475089	None	None
streets_9226	streets	None	None	None	None	(24.530581456848502, 46.902129964258897)	None	46.9021299643	24.5305814568	None	None
streets_9227	streets	None	None	None	None	(24.530238467697803, 46.902659576956395)	None	46.902659577	24.5302384677	None	None
streets_4328	streets	None	None	None	None	(24.646017444827699, 46.730141868118999)	None	46.7301418681	24.6460174448	None	None
streets_4329	streets	None	None	None	None	(24.646688226025599, 46.733829751938707)	None	46.7338297519	24.646688226	None	None
streets_4326	streets	None	None	None	None	(24.614616683993003, 46.694296441056302)	None	46.6942964411	24.614616684	None	None
streets_4327	streets	None	None	None	None	(24.494989919485899, 46.795335142323296)	None	46.7953351423	24.4949899195	None	None
taz_7567	taz	1490	6827	324	46.744209	(24.635482999999997, 46.744209000000005)	None	None	None	24.635483	0.577859374918
streets_12739	streets	None	None	None	None	(24.542049733392002, 46.830477715362797)	None	46.8304777154	24.5420497334	None	None
streets_12738	streets	None	None	None	None	(24.542020600262397, 46.830646321300705)	None	46.8306463213	24.5420206003	None	None
streets_12735	streets	None	None	None	None	(24.7509747185529, 46.7099123372371)	None	46.7099123372	24.7509747186	None	None
streets_12734	streets	None	None	None	None	(24.667340566929301, 46.819973957992403)	None	46.819973958	24.6673405669	None	None
streets_12737	streets	None	None	None	None	(24.663814234919801, 46.812376391512203)	None	46.8123763915	24.6638142349	None	None
taz_7565	taz	2516	7502	1174	46.70268	(24.661801999999998, 46.702680000000001)	None	None	None	24.661802	0.293326249181
streets_12731	streets	None	None	None	None	(24.620061212375003, 46.688873324692004)	None	46.6888733247	24.6200612124	None	None
streets_12730	streets	None	None	None	None	(24.745649114020601, 46.695885518688605)	None	46.6958855187	24.745649114	None	None
