source	target	layer	capacity	weight	time_s	dist_km	len_km	cost_time_m	To	gid	From
streets_5736	streets_1411	streets	2850	0.264976498367	None	0.26939277334	0.26939277334	0.264976498367	None	20239	None
streets_5736	streets_8917	streets	1900	0.15941393472	None	0.108932855392	0.108932855392	0.15941393472	None	19484	None
streets_5451	streets_6272	streets	2850	0.112410401992	None	0.0955488416931	0.0955488416931	0.112410401992	None	3115	None
streets_5451	streets_194	streets	2850	0.452589438471	None	0.3847010227	0.3847010227	0.452589438471	None	8899	None
streets_5734	streets_7187	streets	950	0.0457847535621	None	0.0465478327882	0.0465478327882	0.0457847535621	None	6423	None
streets_5734	streets_8043	streets	2850	0.295835066278	None	0.300765650716	0.300765650716	0.295835066278	None	19113	None
streets_4068	streets_7207	streets	3800	0.227942747241	None	0.231741793029	0.231741793029	0.227942747241	None	7039	None
streets_9835	streets_8256	streets	1900	0.00998625771773	None	0.0118170716327	0.0118170716327	0.00998625771773	None	18726	None
streets_910	streets_6737	streets	9405	0.826479235089	None	0.427014271462	0.427014271462	0.826479235089	None	2601	None
streets_9837	streets_9562	streets	6963	0.315282770991	None	0.530725997834	0.530725997834	0.315282770991	None	14393	None
streets_5450	streets_5451	streets	2850	0.141874487961	None	0.120593314767	0.120593314767	0.141874487961	None	108	None
streets_9831	streets_2760	streets	950	0.347292793214	None	0.23731674203	0.23731674203	0.347292793214	None	3021	None
streets_9831	streets_4119	streets	950	0.740937593032	None	0.506307355239	0.506307355239	0.740937593032	None	19488	None
streets_9831	streets_10177	streets	950	0.36367978556	None	0.248514520133	0.248514520133	0.36367978556	None	7664	None
streets_9830	streets_5370	streets	9405	0.417500760954	None	0.215708726493	0.215708726493	0.417500760954	None	8186	None
streets_9833	streets_877	streets	950	0.0760195504498	None	0.0899564680322	0.0899564680322	0.0760195504498	None	21308	None
streets_9833	streets_206	streets	950	0.0220790815553	None	0.0224470662479	0.0224470662479	0.0220790815553	None	21079	None
streets_911	streets_914	streets	3800	0.530342400595	None	0.539181440605	0.539181440605	0.530342400595	None	5301	None
streets_911	streets_5300	streets	950	0.0332235440915	None	0.0337772698264	0.0337772698264	0.0332235440915	None	9171	None
streets_5457	streets_8097	streets	2850	0.0251334759551	None	0.025552367221	0.025552367221	0.0251334759551	None	12942	None
streets_9839	streets_4815	streets	1900	0.503153156165	None	0.595397901462	0.595397901462	0.503153156165	None	8338	None
streets_9839	streets_8648	streets	2850	0.109755407999	None	0.074999528799	0.074999528799	0.109755407999	None	8342	None
streets_912	streets_1444	streets	950	0.276041991985	None	0.188628694523	0.188628694523	0.276041991985	None	17242	None
streets_912	streets_7142	streets	1900	0.51099211634	None	0.349177946166	0.349177946166	0.51099211634	None	17278	None
streets_912	streets_590	streets	1900	0.307014850958	None	0.209793481488	0.209793481488	0.307014850958	None	5243	None
streets_5456	streets_3184	streets	6963	0.0879936254954	None	0.148122602917	0.148122602917	0.0879936254954	None	9471	None
streets_4065	streets_1866	streets	9405	0.351038992891	None	0.181370146327	0.181370146327	0.351038992891	None	16566	None
streets_4065	streets_4064	streets	950	0.295097086004	None	0.201649675436	0.201649675436	0.295097086004	None	9234	None
streets_4065	streets_633	streets	950	0.145239837606	None	0.0992472223641	0.0992472223641	0.145239837606	None	19475	None
streets_4065	streets_4250	streets	950	0.615210068476	None	0.420393546792	0.420393546792	0.615210068476	None	11087	None
streets_913	streets_9488	streets	2850	0.277684718091	None	0.282312796726	0.282312796726	0.277684718091	None	20584	None
streets_913	streets_6498	streets	2850	1.17144421758	None	1.19096828787	1.19096828787	1.17144421758	None	20580	None
streets_913	streets_1037	streets	2850	0.285432322586	None	0.290189527963	0.290189527963	0.285432322586	None	17507	None
